X,Y,Z,GRADE
29,76,8,0.0401
53,76,8,0.0412
76,76,8,0.0577
96,76,8,0.275
33,95,8,0.304
39,95,8,0.305
48,95,8,0.29
71,95,8,0.283
72,95,8,0.29
95,95,8,0.0742
8,55,9,0.0112
13,55,9,0.0455
32,55,9,0.0908
51,55,9,0.0944
55,55,9,0.1224
75,55,9,0.2125
4,60,9,0.0257
13,60,9,0.0492
37,60,9,0.0544
60,60,9,0.089
80,60,9,0.075
12,68,9,0.0483
21,68,9,0.0222
45,68,9,0.0204
68,68,9,0.0947
88,68,9,0.0543
19,75,9,0.327
23,75,9,0.0454
28,75,9,0.1899
52,75,9,0.0142
61,75,9,0.0958
75,75,9,0.1087
95,75,9,0.277
38,94,9,0.302
47,94,9,0.296
71,94,9,0.274
94,94,9,0.287
7,54,10,0.0284
31,54,10,0.0534
54,54,10,0.0405
74,54,10,0.302
3,59,10,0.0536
12,59,10,0.0725
15,59,10,0.0541
36,59,10,0.295
53,59,10,0.0593
59,59,10,0.0771
79,59,10,0.268
11,67,10,0.1164
19,67,10,0.0502
20,67,10,0.0562
44,67,10,0.265
57,67,10,0.283
67,67,10,0.0954
87,67,10,0.291
18,74,10,0.067
27,74,10,0.0396
51,74,10,0.0588
74,74,10,0.0681
94,74,10,0.0209
32,93,10,0.0326
37,93,10,0.0569
46,93,10,0.0975
70,93,10,0.0657
93,93,10,0.1972
1,31,11,0.0935
8,31,11,0.0943
31,31,11,0.303
39,31,11,0.307
43,31,11,0.1289
51,31,11,0.153
6,53,11,0.047
12,53,11,0.0552
30,53,11,0.0649
50,53,11,0.0349
53,53,11,0.0543
73,53,11,0.29
2,58,11,0.0562
11,58,11,0.0592
35,58,11,0.317
58,58,11,0.0911
78,58,11,0.299
10,66,11,0.0297
19,66,11,0.0872
43,66,11,0.293
66,66,11,0.286
86,66,11,0.328
17,73,11,0.0758
22,73,11,0.0739
26,73,11,0.083
50,73,11,0.0859
60,73,11,0.1007
73,73,11,0.1786
93,73,11,0.0235
36,92,11,0.0446
45,92,11,0.1293
69,92,11,0.0777
92,92,11,0.309
5,52,12,0.1548
29,52,12,0.054
52,52,12,0.039
72,52,12,0.3442
1,57,12,0.315
10,57,12,0.335
14,57,12,0.314
34,57,12,0.295
52,57,12,0.323
57,57,12,0.0344
77,57,12,0.321
9,65,12,0.311
18,65,12,0.306
42,65,12,0.288
56,65,12,0.297
65,65,12,0.296
85,65,12,0.347
16,72,12,0.309
25,72,12,0.1092
49,72,12,0.0485
72,72,12,0.294
92,72,12,0.351
31,91,12,0.0722
35,91,12,0.0717
44,91,12,0.1062
68,91,12,0.0606
69,91,12,0.0575
91,91,12,0.1162
4,51,13,0.303
11,51,13,0.295
28,51,13,0.24
49,51,13,0.0385
51,51,13,0.0385
71,51,13,0.327
0,56,13,0.1557
9,56,13,0.317
33,56,13,0.273
56,56,13,0.0315
76,56,13,0.335
8,64,13,0.1413
17,64,13,0.287
41,64,13,0.252
64,64,13,0.343
84,64,13,0.0524
15,71,13,0.308
21,71,13,0.322
24,71,13,0.0406
48,71,13,0.0287
59,71,13,0.277
71,71,13,0.118
91,71,13,0.276
34,90,13,0.0586
43,90,13,0.1493
67,90,13,0.049
90,90,13,0.1009
7,30,14,0.0579
30,30,14,0.1285
40,30,14,0.0269
50,30,14,0.283
3,50,14,0.307
27,50,14,0.0734
50,50,14,0.1
70,50,14,0.046
8,55,14,0.312
13,55,14,0.308
32,55,14,0.0691
51,55,14,0.0924
55,55,14,0.0364
75,55,14,0.0427
7,63,14,0.0507
16,63,14,0.3121
17,63,14,0.309
40,63,14,0.307
55,63,14,0.273
63,63,14,0.1034
83,63,14,0.1221
14,70,14,0.294
23,70,14,0.0782
47,70,14,0.0751
70,70,14,0.1693
90,70,14,0.303
30,89,14,0.0525
33,89,14,0.1305
42,89,14,0.0429
66,89,14,0.0679
68,89,14,0.0658
89,89,14,0.0589
2,49,15,0.29
10,49,15,0.275
26,49,15,0.1034
48,49,15,0.0506
49,49,15,0.1215
69,49,15,0.0608
97,49,15,0.29
7,54,15,0.273
31,54,15,0.0867
54,54,15,0.0926
74,54,15,0.0705
6,62,15,0.0635
15,62,15,0.276
39,62,15,0.276
62,62,15,0.285
82,62,15,0.318
13,69,15,0.298
20,69,15,0.298
22,69,15,0.29
46,69,15,0.285
58,69,15,0.295
69,69,15,0.307
89,69,15,0.3
32,88,15,0.0339
41,88,15,0.0815
65,88,15,0.294
88,88,15,0.0283
1,48,16,0.0546
25,48,16,0.117
48,48,16,0.1766
68,48,16,0.0637
94,48,16,0.0821
6,53,16,0.313
12,53,16,0.326
30,53,16,0.0972
50,53,16,0.0942
53,53,16,0.0432
73,53,16,0.0561
5,61,16,0.295
14,61,16,0.292
16,61,16,0.292
38,61,16,0.0754
54,61,16,0.0956
61,61,16,0.287
81,61,16,0.343
12,68,16,0.305
21,68,16,0.312
45,68,16,0.302
68,68,16,0.0828
88,68,16,0.333
29,87,16,0.327
31,87,16,0.315
40,87,16,0.0828
64,87,16,0.162
67,87,16,0.0697
87,87,16,0.0543
0,29,17,0.296
6,29,17,0.299
29,29,17,0.274
37,29,17,0.0508
38,29,17,0.0584
49,29,17,0.0975
0,47,17,0.1049
9,47,17,0.277
24,47,17,0.052
47,47,17,0.0314
67,47,17,0.0368
91,47,17,0.04
5,52,17,0.265
29,52,17,0.0541
52,52,17,0.0719
72,52,17,0.1381
4,60,17,0.253
13,60,17,0.286
37,60,17,0.0324
60,60,17,0.0599
80,60,17,0.282
11,67,17,0.302
19,67,17,0.306
20,67,17,0.309
44,67,17,0.285
57,67,17,0.0553
67,67,17,0.0414
87,67,17,0.29
30,86,17,0.0423
39,86,17,0.04
63,86,17,0.0789
86,86,17,0.0411
23,46,18,0.0543
46,46,18,0.095
66,46,18,0.1116
88,46,18,0.0984
4,51,18,0.247
11,51,18,0.31
28,51,18,0.0602
49,51,18,0.1084
51,51,18,0.1207
71,51,18,0.0701
3,59,18,0.257
12,59,18,0.309
15,59,18,0.29
36,59,18,0.048
53,59,18,0.0888
59,59,18,0.0488
79,59,18,0.1837
10,66,18,0.295
19,66,18,0.305
43,66,18,0.0498
66,66,18,0.0711
86,66,18,0.2104
28,85,18,0.298
29,85,18,0.317
38,85,18,0.304
62,85,18,0.291
66,85,18,0.182
85,85,18,0.047
8,45,19,0.292
22,45,19,0.0873
45,45,19,0.1119
46,45,19,0.0737
65,45,19,0.1195
85,45,19,0.1082
3,50,19,0.343
27,50,19,0.258
50,50,19,0.0455
70,50,19,0.0952
2,58,19,0.31
11,58,19,0.312
35,58,19,0.271
58,58,19,0.278
78,58,19,0.303
9,65,19,0.329
18,65,19,0.314
42,65,19,0.27
56,65,19,0.295
65,65,19,0.291
85,65,19,0.309
28,84,19,0.296
37,84,19,0.28
61,84,19,0.1422
84,84,19,0.0589
5,28,20,0.0228
28,28,20,0.033
34,28,20,0.0357
48,28,20,0.277
21,44,20,0.324
44,44,20,0.0302
64,44,20,0.317
82,44,20,0.033
2,49,20,0.0483
10,49,20,0.0514
26,49,20,0.1015
48,49,20,0.0579
49,49,20,0.0498
69,49,20,0.282
97,49,20,0.0156
1,57,20,0.0242
10,57,20,0.311
14,57,20,0.298
34,57,20,0.0855
52,57,20,0.1318
57,57,20,0.3251
77,57,20,0.294
8,64,20,0.0358
17,64,20,0.0646
41,64,20,0.1197
64,64,20,0.1303
84,64,20,0.29
27,83,20,0.0313
36,83,20,0.0566
60,83,20,0.1467
65,83,20,0.1467
83,83,20,0.1917
7,43,21,0.1316
20,43,21,0.28
43,43,21,0.1295
45,43,21,0.15
63,43,21,0.1278
79,43,21,0.0206
1,48,21,0.0938
25,48,21,0.1683
48,48,21,0.0643
68,48,21,0.296
94,48,21,0.062
0,56,21,0.0875
9,56,21,0.1143
33,56,21,0.0443
56,56,21,0.0548
76,56,21,0.309
7,63,21,0.2369
16,63,21,0.0587
17,63,21,0.0415
40,63,21,0.1042
55,63,21,0.29
63,63,21,0.0796
83,63,21,0.1034
26,82,21,0.2549
35,82,21,0.0428
59,82,21,0.1092
82,82,21,0.0733
19,42,22,0.0944
42,42,22,0.0708
62,42,22,0.295
76,42,22,0.0202
0,47,22,0.0842
9,47,22,0.0515
24,47,22,0.0213
47,47,22,0.1238
67,47,22,0.0312
91,47,22,0.0935
8,55,22,0.1636
13,55,22,0.27
32,55,22,0.0861
51,55,22,0.307
55,55,22,0.322
75,55,22,0.1135
6,62,22,0.277
15,62,22,0.0915
39,62,22,0.1331
62,62,22,0.185
82,62,22,0.289
25,81,22,0.0974
26,81,22,0.0773
34,81,22,0.0302
58,81,22,0.324
64,81,22,0.1167
81,81,22,0.2073
4,27,23,0.0592
27,27,23,0.0677
31,27,23,0.0462
37,27,23,0.096
47,27,23,0.0494
6,41,23,0.1187
18,41,23,0.0668
41,41,23,0.1161
44,41,23,0.0556
61,41,23,0.262
73,41,23,0.0247
23,46,23,0.0286
46,46,23,0.0454
66,46,23,0.1665
88,46,23,0.299
7,54,23,0.0476
31,54,23,0.1221
54,54,23,0.28
74,54,23,0.0489
5,61,23,0.0685
14,61,23,0.1386
16,61,23,0.1267
38,61,23,0.2062
54,61,23,0.0813
61,61,23,0.276
81,61,23,0.283
24,80,23,0.0895
33,80,23,0.042
57,80,23,0.305
80,80,23,0.2217
17,40,24,0.0434
40,40,24,0.276
60,40,24,0.0578
70,40,24,0.0596
8,45,24,0.1336
22,45,24,0.0566
45,45,24,0.114
46,45,24,0.114
65,45,24,0.287
85,45,24,0.0693
6,53,24,0.0546
12,53,24,0.1321
30,53,24,0.282
50,53,24,0.163
53,53,24,0.197
73,53,24,0.0352
4,60,24,0.0338
13,60,24,0.0696
37,60,24,0.0869
60,60,24,0.255
80,60,24,0.0337
23,79,24,0.0463
25,79,24,0.0909
32,79,24,0.1091
56,79,24,0.1805
63,79,24,0.1303
79,79,24,0.1135
99,79,24,0.0455
5,39,25,0.0515
16,39,25,0.311
39,39,25,0.309
43,39,25,0.314
59,39,25,0.296
67,39,25,0.3
21,44,25,0.0263
44,44,25,0.1963
64,44,25,0.1431
82,44,25,0.1314
5,52,25,0.0687
29,52,25,0.292
52,52,25,0.298
72,52,25,0.0606
3,59,25,0.276
12,59,25,0.1229
15,59,25,0.0596
36,59,25,0.0742
53,59,25,0.0652
59,59,25,0.271
79,59,25,0.287
22,78,25,0.0873
31,78,25,0.094
55,78,25,0.1449
78,78,25,0.214
98,78,25,0.287
3,26,26,0.0524
26,26,26,0.292
28,26,26,0.284
46,26,26,0.0535
15,38,26,0.032
38,38,26,0.0273
58,38,26,0.0728
64,38,26,0.306
7,43,26,0.0223
20,43,26,0.0718
43,43,26,0.0453
45,43,26,0.0451
63,43,26,0.0554
79,43,26,0.1521
4,51,26,0.267
11,51,26,0.29
28,51,26,0.1911
49,51,26,0.29
51,51,26,0.29
71,51,26,0.0879
2,58,26,0.311
11,58,26,0.276
35,58,26,0.1012
58,58,26,0.297
78,58,26,0.255
21,77,26,0.272
24,77,26,0.0549
30,77,26,0.0488
54,77,26,0.314
62,77,26,0.304
77,77,26,0.308
97,77,26,0.283
4,37,27,0.0619
14,37,27,0.0498
37,37,27,0.0676
42,37,27,0.026
57,37,27,0.0762
61,37,27,0.0842
19,42,27,0.275
42,42,27,0.0386
62,42,27,0.0642
76,42,27,0.0867
3,50,27,0.271
27,50,27,0.0879
50,50,27,0.267
70,50,27,0.0679
1,57,27,0.1781
10,57,27,0.296
14,57,27,0.275
34,57,27,0.1146
52,57,27,0.0919
57,57,27,0.0862
77,57,27,0.1027
20,76,27,0.0642
29,76,27,0.1171
53,76,27,0.191
76,76,27,0.291
96,76,27,0.0559
13,36,28,0.0496
36,36,28,0.0519
56,36,28,0.265
58,36,28,0.262
6,41,28,0.0486
18,41,28,0.303
41,41,28,0.0741
44,41,28,0.1016
61,41,28,0.0896
73,41,28,0.0484
2,49,28,0.0584
10,49,28,0.1401
26,49,28,0.0706
48,49,28,0.311
49,49,28,0.307
69,49,28,0.0669
97,49,28,0.0142
0,56,28,0.1249
9,56,28,0.096
33,56,28,0.0462
56,56,28,0.093
76,56,28,0.103
19,75,28,0.0476
23,75,28,0.0739
28,75,28,0.0501
52,75,28,0.308
61,75,28,0.0659
75,75,28,0.297
95,75,28,0.0586
2,25,29,0.0385
25,25,29,0.328
36,25,29,0.0722
45,25,29,0.283
3,35,29,0.1338
12,35,29,0.0708
35,35,29,0.309
41,35,29,0.295
55,35,29,0.271
17,40,29,0.0788
40,40,29,0.1197
60,40,29,0.0558
70,40,29,0.0453
1,48,29,0.0558
25,48,29,0.1018
48,48,29,0.1908
68,48,29,0.0563
94,48,29,0.0197
8,55,29,0.2212
13,55,29,0.1255
32,55,29,0.1024
51,55,29,0.27
55,55,29,0.1223
75,55,29,0.0898
18,74,29,0.097
27,74,29,0.105
51,74,29,0.318
74,74,29,0.039
94,74,29,0.1046
48,42,0,0.278
4,78,0,0.31
92,16,0,0.0699
36,85,0,0.303
66,95,0,0.0512
46,24,0,0.336
14,57,0,0.279
48,44,0,0.287
40,95,0,0.2812
41,12,0,0.0519
2,97,0,0.0225
40,17,0,0.0397
72,70,0,0.29
84,23,0,0.325
40,4,0,0.0926
94,49,0,0.0794
23,38,0,0.1162
78,80,0,0.287
93,20,0,0.049
90,16,0,0.1356
53,28,0,0.303
15,32,0,0.0354
35,25,0,0.3
31,16,0,0.0368
73,73,0,0.292
83,52,0,0.1259
50,38,0,0.269
30,44,0,0.263
76,54,0,0.0734
98,28,0,0.3059
78,76,0,0.281
4,69,0,0.278
90,48,0,0.0923
18,19,0,0.1029
40,4,1,0.0686
41,12,1,0.0508
31,16,1,0.0436
90,16,1,0.1363
92,16,1,0.2066
40,17,1,0.0734
18,19,1,0.0624
93,20,1,0.0747
84,23,1,0.29
46,24,1,0.0722
35,25,1,0.0522
53,28,1,0.305
98,28,1,0.3
15,32,1,0.0462
23,38,1,0.0496
50,38,1,0.277
48,42,1,0.248
30,44,1,0.303
48,44,1,0.2
90,48,1,0.1602
94,49,1,0.1177
83,52,1,0.0778
76,54,1,0.0526
14,57,1,0.31
4,69,1,0.252
72,70,1,0.163
73,73,1,0.278
78,76,1,0.3
4,78,1,0.276
78,80,1,0.299
36,85,1,0.266
40,95,1,0.267
66,95,1,0.0574
2,97,1,0.0253
40,4,2,0.1056
41,12,2,0.0414
31,16,2,0.0902
90,16,2,0.321
92,16,2,0.321
40,17,2,0.0698
18,19,2,0.3
93,20,2,0.279
84,23,2,0.276
46,24,2,0.269
35,25,2,0.278
53,28,2,0.28
98,28,2,0.289
15,32,2,0.313
23,38,2,0.31
50,38,2,0.315
48,42,2,0.3
30,44,2,0.304
48,44,2,0.302
90,48,2,0.12
94,49,2,0.0887
83,52,2,0.018
76,54,2,0.0666
14,57,2,0.301
4,69,2,0.3
72,70,2,0.3
73,73,2,0.291
78,76,2,0.298
4,78,2,0.298
78,80,2,0.283
36,85,2,0.29
40,95,2,0.1674
66,95,2,0.244
2,97,2,0.0405
40,4,3,0.271
41,12,3,0.282
31,16,3,0.2621
90,16,3,0.296
92,16,3,0.296
40,17,3,0.275
18,19,3,0.295
93,20,3,0.0969
84,23,3,0.262
46,24,3,0.1103
35,25,3,0.267
53,28,3,0.1089
98,28,3,0.1642
15,32,3,0.281
23,38,3,0.29
50,38,3,0.3371
48,42,3,0.31
30,44,3,0.3
48,44,3,0.328
90,48,3,0.0425
94,49,3,0.0382
83,52,3,0.0278
76,54,3,0.0197
14,57,3,0.0645
4,69,3,0.0748
72,70,3,0.309
73,73,3,0.29
78,76,3,0.297
4,78,3,0.281
78,80,3,0.2797
36,85,3,0.291
40,95,3,0.28
66,95,3,0.323
2,97,3,0.0328
40,4,4,0.286
41,12,4,0.1681
31,16,4,0.233
90,16,4,0.191
92,16,4,0.262
40,17,4,0.133
18,19,4,0.197
93,20,4,0.266
84,23,4,0.264
46,24,4,0.0304
35,25,4,0.142
53,28,4,0.058
98,28,4,0.283
15,32,4,0.303
23,38,4,0.0578
50,38,4,0.301
48,42,4,0.306
30,44,4,0.0418
48,44,4,0.309
90,48,4,0.0375
94,49,4,0.0299
83,52,4,0.1018
76,54,4,0.0376
14,57,4,0.302
4,69,4,0.281
72,70,4,0.1926
73,73,4,0.29
78,76,4,0.31
4,78,4,0.311
78,80,4,0.298
36,85,4,0.0986
40,95,4,0.269
66,95,4,0.3
2,97,4,0.0653
40,4,5,0.32
41,12,5,0.314
31,16,5,0.295
90,16,5,0.309
92,16,5,0.296
40,17,5,0.1563
18,19,5,0.297
93,20,5,0.303
84,23,5,0.304
46,24,5,0.0713
35,25,5,0.1361
53,28,5,0.034
98,28,5,0.302
15,32,5,0.0295
23,38,5,0.0527
50,38,5,0.277
48,42,5,0.1617
30,44,5,0.0369
48,44,5,0.1756
90,48,5,0.0289
94,49,5,0.043
83,52,5,0.0721
76,54,5,0.0733
14,57,5,0.305
4,69,5,0.328
72,70,5,0.09
73,73,5,0.326
78,76,5,0.314
4,78,5,0.3323
78,80,5,0.297
36,85,5,0.095
40,95,5,0.306
66,95,5,0.2877
2,97,5,0.0262
40,4,6,0.307
41,12,6,0.084
31,16,6,0.329
90,16,6,0.0416
92,16,6,0.1602
40,17,6,0.0593
18,19,6,0.309
93,20,6,0.253
84,23,6,0.23
46,24,6,0.0615
35,25,6,0.0542
53,28,6,0.0751
98,28,6,0.275
15,32,6,0.1224
23,38,6,0.0645
50,38,6,0.1027
48,42,6,0.1411
30,44,6,0.0906
48,44,6,0.1058
90,48,6,0.1199
94,49,6,0.0818
83,52,6,0.1915
76,54,6,0.1039
14,57,6,0.2073
4,69,6,0.295
72,70,6,0.1972
73,73,6,0.1025
78,76,6,0.298
4,78,6,0.283
78,80,6,0.279
36,85,6,0.0892
40,95,6,0.29
66,95,6,0.296
2,97,6,0.0764
40,4,7,0.1213
41,12,7,0.1019
31,16,7,0.1755
90,16,7,0.1127
92,16,7,0.1018
40,17,7,0.0647
18,19,7,0.0506
93,20,7,0.268
84,23,7,0.272
46,24,7,0.0583
35,25,7,0.1727
53,28,7,0.0925
98,28,7,0.299
15,32,7,0.0873
23,38,7,0.0624
50,38,7,0.0337
48,42,7,0.0407
30,44,7,0.0734
48,44,7,0.0479
90,48,7,0.0714
94,49,7,0.0555
83,52,7,0.0903
76,54,7,0.0427
14,57,7,0.0488
4,69,7,0.255
72,70,7,0.1085
73,73,7,0.0369
78,76,7,0.091
4,78,7,0.29
78,80,7,0.3
36,85,7,0.1582
40,95,7,0.282
66,95,7,0.272
2,97,7,0.0714
40,4,8,0.2282
41,12,8,0.0498
31,16,8,0.0883
90,16,8,0.0761
92,16,8,0.0951
40,17,8,0.0458
18,19,8,0.1519
93,20,8,0.0392
84,23,8,0.0225
46,24,8,0.0697
35,25,8,0.0523
53,28,8,0.1799
98,28,8,0.278
15,32,8,0.0646
23,38,8,0.1126
50,38,8,0.0457
48,42,8,0.058
30,44,8,0.0655
48,44,8,0.0688
90,48,8,0.1358
94,49,8,0.0787
83,52,8,0.1305
76,54,8,0.1428
14,57,8,0.0337
4,69,8,0.0797
72,70,8,0.0312
73,73,8,0.0338
78,76,8,0.0797
4,78,8,0.271
78,80,8,0.1557
36,85,8,0.282
40,95,8,0.314
66,95,8,0.278
2,97,8,0.282
40,4,9,0.1045
41,12,9,0.0603
31,16,9,0.1132
90,16,9,0.16
92,16,9,0.147
40,17,9,0.0839
18,19,9,0.1049
93,20,9,0.0745
84,23,9,0.0268
46,24,9,0.0477
35,25,9,0.0436
53,28,9,0.105
98,28,9,0.0201
15,32,9,0.084
23,38,9,0.1305
50,38,9,0.0406
48,42,9,0.0596
30,44,9,0.0634
48,44,9,0.109
90,48,9,0.1189
94,49,9,0.0478
83,52,9,0.0955
76,54,9,0.1545
14,57,9,0.0358
4,69,9,0.0965
72,70,9,0.0563
73,73,9,0.068
78,76,9,0.0822
4,78,9,0.315
78,80,9,0.1122
36,85,9,0.276
40,95,9,0.301
66,95,9,0.269
2,97,9,0.305
40,4,10,0.315
41,12,10,0.3414
31,16,10,0.329
90,16,10,0.0756
92,16,10,0.0621
40,17,10,0.0243
18,19,10,0.1593
93,20,10,0.054
84,23,10,0.1071
46,24,10,0.0588
35,25,10,0.3388
53,28,10,0.0551
98,28,10,0.0578
15,32,10,0.0877
23,38,10,0.126
50,38,10,0.0659
48,42,10,0.0396
30,44,10,0.1467
48,44,10,0.0282
90,48,10,0.0478
94,49,10,0.0516
83,52,10,0.0668
76,54,10,0.306
14,57,10,0.059
4,69,10,0.0414
72,70,10,0.0892
73,73,10,0.0731
78,76,10,0.1557
4,78,10,0.0285
78,80,10,0.0444
36,85,10,0.0139
40,95,10,0.0215
66,95,10,0.0459
2,97,10,0.0706
40,4,11,0.299
41,12,11,0.327
31,16,11,0.298
90,16,11,0.0768
92,16,11,0.0897
40,17,11,0.1656
18,19,11,0.1773
93,20,11,0.0787
84,23,11,0.0577
46,24,11,0.0644
35,25,11,0.301
53,28,11,0.1764
98,28,11,0.093
15,32,11,0.1187
23,38,11,0.0508
50,38,11,0.0661
48,42,11,0.1172
30,44,11,0.0441
48,44,11,0.0744
90,48,11,0.085
94,49,11,0.0628
83,52,11,0.0852
76,54,11,0.294
14,57,11,0.0495
4,69,11,0.0249
72,70,11,0.1488
73,73,11,0.1786
78,76,11,0.1251
4,78,11,0.0821
78,80,11,0.043
36,85,11,0.1295
40,95,11,0.0815
66,95,11,0.0634
2,97,11,0.0945
40,4,12,0.298
41,12,12,0.294
31,16,12,0.345
90,16,12,0.0662
92,16,12,0.054
40,17,12,0.0719
18,19,12,0.153
93,20,12,0.0816
84,23,12,0.0477
46,24,12,0.0744
35,25,12,0.348
53,28,12,0.1257
98,28,12,0.1977
15,32,12,0.303
23,38,12,0.314
50,38,12,0.3576
48,42,12,0.32
30,44,12,0.291
48,44,12,0.329
90,48,12,0.295
94,49,12,0.1656
83,52,12,0.322
76,54,12,0.329
14,57,12,0.314
4,69,12,0.0295
72,70,12,0.1461
73,73,12,0.307
78,76,12,0.323
4,78,12,0.1441
78,80,12,0.316
36,85,12,0.0386
40,95,12,0.0677
66,95,12,0.0311
2,97,12,0.0426
40,4,13,0.312
41,12,13,0.312
31,16,13,0.067
90,16,13,0.0281
92,16,13,0.0327
40,17,13,0.314
18,19,13,0.0252
93,20,13,0.0168
84,23,13,0.0455
46,24,13,0.311
35,25,13,0.0803
53,28,13,0.3312
98,28,13,0.1189
15,32,13,0.266
23,38,13,0.182
50,38,13,0.323
48,42,13,0.329
30,44,13,0.271
48,44,13,0.1962
90,48,13,0.294
94,49,13,0.342
83,52,13,0.305
76,54,13,0.0506
14,57,13,0.29
4,69,13,0.0836
72,70,13,0.1382
73,73,13,0.294
78,76,13,0.306
4,78,13,0.1503
78,80,13,0.305
36,85,13,0.0998
40,95,13,0.0444
66,95,13,0.0804
