X,Y,Z,GRADE
35,80,0,174.8000
54,80,0,483.0000
208,80,0,436.6000
41,81,0,269.5000
46,81,0,542.6000
50,81,0,608.0000
60,81,0,385.6000
81,81,0,585.8000
220,81,0,272.1000
15,88,0,610.0000
28,88,0,702.6000
34,88,0,86.9000
50,88,0,820.8000
108,88,0,192.0000
219,88,0,235.1000
45,89,0,569.6000
55,89,0,423.4000
80,89,0,614.5000
86,89,0,582.4000
150,89,0,547.2000
190,89,0,325.9999
205,89,0,809.6000
215,89,0,595.2000
9,90,0,412.1000
21,90,0,601.3999
41,90,0,414.9000
59,90,0,506.2000
69,90,0,0.1390
75,90,0,518.9000
93,90,0,874.0000
129,90,0,243.1000
198,90,0,611.7000
209,90,0,812.1000
23,91,0,817.0000
91,91,0,907.2000
100,91,0,397.2000
168,91,0,499.3000
196,91,0,433.5000
229,91,0,31.7000
251,91,0,0.0048
81,98,0,181.2000
199,98,0,801.0000
36,99,0,38.1000
46,99,0,566.8000
91,99,0,734.9000
221,99,0,540.9000
21,100,0,594.6000
41,100,0,601.4000
85,100,0,704.1000
101,100,0,599.3000
211,100,0,746.4000
31,101,0,579.2000
51,101,0,502.4000
59,101,0,363.9000
94,101,0,383.7000
196,101,0,592.4000
204,101,0,533.8000
215,101,0,209.6000
81,108,0,1022.3000
85,108,0,937.3000
51,109,0,450.7000
104,109,0,562.3000
110,109,0,237.6000
131,109,0,0.0717
150,109,0,482.7000
171,109,0,457.3000
248,109,0,28.2000
10,110,0,587.2000
30,110,0,490.3000
68,110,0,329.1000
75,110,0,655.3000
229,110,0,377.4000
91,111,0,826.3000
96,111,0,553.2000
98,111,0,744.8000
188,111,0,325.1000
210,111,0,339.7000
100,118,0,363.7000
104,118,0,594.0000
119,118,0,150.4000
80,119,0,421.2000
83,119,0,847.7000
90,120,0,899.3000
114,120,0,319.5000
61,121,0,104.8000
70,121,0,30.7000
95,121,0,823.6000
108,121,0,893.0000
58,128,0,158.8000
68,128,0,646.3000
129,128,0,244.7000
9,129,0,192.3000
48,129,0,190.4000
64,129,0,227.3000
75,129,0,782.8000
109,129,0,702.0000
150,129,0,84.1000
191,129,0,114.7000
28,130,0,136.1000
89,130,0,975.3000
98,130,0,513.2000
106,130,0,651.5000
211,130,0,223.9000
249,130,0,0.0909
80,131,0,801.6000
86,131,0,879.9000
93,131,0,883.6000
114,131,0,268.4000
121,131,0,13.0000
168,131,0,341.2000
230,131,0,333.3000
50,138,0,413.4000
79,138,0,730.1000
84,138,0,687.3000
90,138,0,645.4000
61,139,0,477.0000
103,139,0,491.2000
200,139,0,230.9000
219,139,0,166.8000
38,140,0,268.5000
63,140,0,696.5000
71,140,0,606.3000
90,140,0,648.8000
94,140,0,607.5000
111,140,0,190.3000
210,140,0,440.9000
73,141,0,790.9000
120,141,0,104.7000
38,148,0,340.9000
46,148,0,234.0000
69,148,0,616.2000
110,148,0,38.5000
131,148,0,185.2000
215,148,0,293.3000
228,148,0,351.0000
73,149,0,722.9000
79,149,0,44.1000
88,149,0,551.1000
189,149,0,481.6000
195,149,0,478.7000
11,150,0,31.3000
28,150,0,335.0000
53,150,0,858.0000
171,150,0,0.0143
200,150,0,606.2000
220,150,0,543.9000
248,150,0,18.3000
49,151,0,773.3000
60,151,0,1521.1000
64,151,0,974.5000
150,151,0,4.7000
204,151,0,697.3000
208,151,0,673.5000
61,158,0,868.9000
76,159,0,597.5000
78,159,0,742.0000
208,159,0,356.0000
33,160,0,431.0000
39,160,0,657.4000
50,160,0,879.1000
65,160,0,928.3000
71,160,0,801.1000
221,160,0,301.8000
43,161,0,631.9000
54,161,0,959.3000
84,161,0,437.4000
198,161,0,369.4000
51,168,0,971.9000
55,168,0,876.0000
63,168,0,1215.8000
80,168,0,689.1000
209,168,0,141.0000
69,169,0,761.3000
86,169,0,317.4000
111,169,0,22.1000
131,169,0,26.0000
149,169,0,180.6000
190,169,0,324.1000
229,169,0,0.1200
250,169,0,266.3000
10,170,0,388.5000
36,170,0,672.3000
39,170,0,914.4000
43,170,0,1082.8000
61,170,0,806.4000
89,170,0,155.5000
30,171,0,277.0000
75,171,0,512.2000
171,171,0,208.3000
49,179,0,811.5000
53,179,0,1003.4000
58,179,0,1113.6000
34,180,0,366.0000
44,180,0,876.4000
39,181,0,1008.0000
65,181,0,734.1000
69,181,0,424.6000
79,181,0,184.3000
8,188,0,174.6000
73,188,0,687.1000
80,188,0,245.2000
89,188,0,10.7000
190,189,0,10.9000
28,190,0,206.1000
40,190,0,970.9000
48,190,0,762.4000
151,190,0,0.1290
250,190,0,502.3000
33,191,0,296.5000
44,191,0,646.6000
55,191,0,1392.6000
60,191,0,1528.1000
64,191,0,1259.9000
70,191,0,918.0000
111,191,0,2.7000
129,191,0,0.1770
169,191,0,99.7000
208,191,0,61.8000
231,191,0,137.6000
46,198,0,804.3000
51,198,0,1109.0000
60,198,0,1203.9000
70,198,0,630.0000
158,198,0,169.8000
170,198,0,367.6000
55,199,0,1069.2000
73,199,0,470.7000
40,200,0,641.3000
81,200,0,0.0430
34,201,0,318.1000
63,201,0,731.1000
178,201,0,144.8000
35,208,0,428.9000
58,208,0,720.6000
69,208,0,97.4000
110,208,0,17.9000
148,208,0,342.4000
174,208,0,339.2000
231,208,0,451.2000
251,208,0,0.1100
9,209,0,187.8000
31,209,0,24.5000
38,209,0,665.3000
128,209,0,100.3000
159,209,0,517.3000
65,210,0,238.5999
170,210,0,636.6000
188,210,0,332.9000
46,211,0,509.2000
50,211,0,968.3000
55,211,0,889.5000
90,211,0,0.0335
166,211,0,600.2999
178,211,0,398.2000
210,211,0,258.3000
35,217,0,597.4000
151,218,0,394.3000
160,218,0,580.4000
180,218,0,374.7000
213,218,0,482.6000
218,218,0,763.5000
36,219,0,429.1000
46,220,0,734.4000
61,220,0,101.1000
139,220,0,535.9000
233,220,0,626.0000
239,220,0,420.1000
39,221,0,615.9000
50,221,0,543.3000
169,221,0,427.2000
226,221,0,800.1000
230,221,0,602.4000
150,228,0,602.3000
158,228,0,558.4000
211,228,0,590.3000
218,228,0,430.8000
229,228,0,639.5000
28,229,0,198.1000
69,229,0,0.1480
140,229,0,558.0000
155,229,0,386.4000
236,229,0,665.2999
238,229,0,602.6000
251,229,0,240.8999
90,230,0,0.1580
109,230,0,174.2000
145,230,0,333.2000
170,230,0,173.1000
226,230,0,813.6000
10,231,0,82.1000
49,231,0,394.7000
130,231,0,530.3000
191,231,0,184.4000
245,231,0,161.2000
231,239,0,354.1000
240,239,0,172.6000
141,240,0,112.5000
150,241,0,318.5000
161,241,0,141.9000
221,241,0,324.8000
131,248,0,107.4000
190,248,0,146.6000
88,249,0,0.0622
109,249,0,12.9000
169,249,0,17.0000
231,249,0,119.9000
11,250,0,81.1000
30,250,0,60.3000
51,250,0,343.0000
68,250,0,0.0239
211,250,0,166.9000
149,251,0,209.1000
249,251,0,234.4000
53,258,0,442.6000
59,258,0,194.9000
35,259,0,235.0000
38,260,0,635.2000
46,260,0,765.2000
51,260,0,670.7000
50,268,0,863.8000
59,268,0,543.1000
71,268,0,0.1960
109,268,0,187.7999
208,268,0,125.2000
231,268,0,27.2000
10,269,0,124.3000
31,269,0,312.6000
54,269,0,613.1000
88,269,0,12.1000
128,269,0,159.3000
189,270,0,92.0000
248,270,0,22.4000
41,271,0,868.8000
43,271,0,767.8000
149,271,0,79.4000
168,271,0,283.1000
35,278,0,795.9000
49,278,0,583.0000
39,279,0,798.0000
45,281,0,605.5000
59,281,0,148.8000
8,288,0,188.0000
71,288,0,2.4000
88,288,0,62.2000
131,288,0,70.7000
31,289,0,240.9000
208,289,0,29.3000
51,290,0,159.6000
168,290,0,30.9000
189,290,0,2.5000
111,291,0,268.8000
148,291,0,104.1000
230,291,0,2.1000
250,291,0,45.6000
