dir_0_nlag,dir_1_nlag,k_3
13,18,47436603.74
16,3,129235451.0
9,6,60591907.11
15,13,121347060.2
19,7,72492524.33
14,22,11787364.92
3,16,61580166.17
16,20,80525753.09
14,24,14502575.95
1,2,294770366.5
7,12,43487445.88
19,15,87021493.14
5,5,88394913.91
3,12,128571596.5
9,13,52486222.15
19,4,78849315.35
5,18,119612972.7
11,11,78181009.03
3,18,89343044.5
10,12,32057337.85
15,23,5503129.323
18,28,34186865.3
14,14,48167336.32
19,1,134331966.9
10,10,39296115.63
16,17,168950662.2
16,15,108339237.6
11,15,62214870.84
15,22,7803956.852
5,6,73974661.83
4,13,112683182.9
7,19,79862779.36
8,26,70450114.0
15,6,168028546.4
7,15,68934608.19
20,27,34511189.51
4,19,115147291.7
5,3,81323199.51
3,14,64338526.24
12,26,64246442.51
9,2,66466905.79
19,20,74077292.7
8,2,56707983.23
2,5,187369309.8
19,12,31749459.93
11,6,106043585.9
9,25,89236641.98
18,16,88329815.99
6,25,103684812.2
8,8,45178252.05
2,21,74830881.46
12,25,115556732.9
8,16,39501195.42
14,23,8778396.199
17,5,120108371.7
20,11,28415135.31
8,13,65641997.44
10,7,54509520.82
14,18,57611790.69
19,10,42654018.11
5,12,109307729.8
1,11,186790171.7
7,9,62747494.7
1,14,85895751.59
19,6,86184114.34
13,20,31320285.25
19,14,62566961.98
2,20,40518479.57
16,27,60318743.31
5,24,19431271.13
11,23,8830938.884
8,10,34880578.62
18,5,97828444.65
7,22,38213766.2
18,20,91420791.38
14,12,88830665.47
8,25,146136747.2
1,13,111507172.4
14,6,104711857.0
11,9,55540932.44
1,23,35931719.6
15,27,38269229.19
10,20,28261059.17
1,7,187950104.4
18,7,83783674.31
20,2,65657269.69
11,17,82636828.41
5,22,105537526.1
2,22,30993189.75
3,24,26241854.1
12,3,147298738.4
13,28,27127125.81
13,12,70566909.18
6,16,48391303.21
18,13,69715769.62
13,11,83965524.15
13,17,70373232.25
9,17,93035445.9
10,2,67220453.95
14,10,103039767.3
17,10,117323491.4
9,26,85021805.36
10,13,54374915.66
9,9,57811368.63
6,28,16382042.41
4,1,123845487.8
16,1,124458596.8
17,25,163005158.7
11,7,81810224.6
16,13,120329578.8
17,8,118614101.1
12,8,67023001.29
16,11,160556574.7
17,16,143033429.0
15,10,181111502.4
7,23,36378082.31
13,1,152855511.5
8,22,27423112.33
14,3,155711893.9
18,10,61778782.7
9,20,52460191.27
1,21,103349489.9
15,2,166972175.7
2,4,153275603.0
12,2,113428859.8
8,6,36605624.85
12,13,59093950.56
2,15,63421446.98
6,7,74908545.78
1,19,90611655.18
5,23,21727812.66
6,27,99985797.35
8,5,69204709.47
20,9,51988055.32
2,12,99491545.77
8,12,38637977.5
4,18,93560485.85
19,3,81446289.25
13,5,158986432.2
13,2,159015193.2
4,15,77905851.52
7,5,84726347.44
6,5,77798421.37
17,27,132768609.3
10,15,71029891.37
2,6,129562613.4
3,3,198540565.9
2,10,141023381.2
13,7,106544938.7
14,4,136824471.8
9,27,79073702.75
13,19,63686064.24
11,28,48661215.97
15,4,187353852.1
19,25,89627636.51
8,20,41349826.64
12,6,93576709.23
1,16,83543924.66
13,10,85968885.09
5,21,151758894.0
7,20,57171632.69
10,22,22050067.78
3,13,104514634.6
2,13,91831670.41
7,17,85810704.09
17,1,101266761.1
6,10,58437828.13
3,7,132546499.8
7,21,79404888.45
18,14,78652251.75
17,13,107017266.5
9,21,91467572.99
2,17,72729377.32
5,26,65934551.16
19,28,24661084.47
18,27,97889034.65
17,4,111920741.0
19,23,19088958.85
18,8,69812205.67
4,5,125869175.2
13,6,116544765.9
10,6,52661753.91
11,19,102013174.7
6,26,47780139.89
17,2,96436603.53
20,28,8017560.519
11,26,81490764.45
15,8,147298721.4
9,16,50918177.77
20,23,13466149.55
9,4,55330558.94
3,23,27821647.12
6,12,55427950.68
14,5,166154874.2
6,14,52969891.85
19,5,88866674.11
1,27,87072097.19
17,22,80839438.21
20,8,42780172.68
1,17,100397310.5
8,7,57505603.54
12,18,45441315.9
18,1,99561245.42
18,2,56050258.68
11,27,28785334.49
14,25,83613601.94
6,4,51054473.79
4,9,140979541.3
1,26,95495863.38
2,9,171218945.9
2,26,49127516.04
16,7,136121892.1
14,1,144202342.6
11,3,150193625.3
4,6,97481628.55
3,28,5549841.832
11,25,73862648.36
16,18,139847779.5
3,22,30326513.59
10,18,45330522.64
10,26,40836523.86
16,5,140119518.3
7,16,47241005.49
1,25,74534134.68
5,11,143032429.4
20,26,36256434.96
1,4,238266643.7
15,25,40626274.86
13,4,174373679.1
7,18,56618409.78
18,6,78006192.75
9,15,82701497.58
14,8,84053457.1
6,22,51408604.93
10,28,16018793.04
3,11,199783795.8
7,3,96527571.25
3,21,56885553.24
13,22,7894345.105
12,11,69977964.8
8,14,35798200.18
9,7,56024870.82
11,8,67988938.86
7,27,39237675.21
2,14,50212365.0
10,5,97351801.14
20,12,18271293.62
9,19,96299041.26
16,22,10501469.81
19,17,80021757.68
2,24,17649907.39
12,24,14962204.39
8,11,70831919.86
9,24,36080578.75
17,17,161058931.7
4,10,118869981.9
8,3,82771088.07
2,16,43676237.97
5,19,125266168.2
6,20,54017443.49
3,1,189194796.6
2,18,44901573.67
20,25,38471638.31
4,24,14470648.29
20,15,45579570.57
17,7,122819555.4
5,13,117705785.9
20,14,25232230.64
4,14,54251166.83
15,19,108587858.1
10,11,72886676.8
17,21,131966033.8
17,23,37594396.83
5,27,57711016.13
5,16,92255918.57
